id,filename,rel_path,phonemes,error
71030,71030.wav,audios\71030.wav,ˈɛn ɔøbərˌɛntɛgˈiːn vˌˌeːɾdən vˈoːl ˌʊmɑː gˈʏnstɪgɛɾn pɾˈaɪsfɛːtɛrvˌaɾtən ˈuːvɛt ːiˌmɛl vːaɛdɾɪnvˈˌiˈvːʊɾaɔn vɛbɾətən,
71096,71096.wav,audios\71096.wav,ˈɪçmˌaɪkˈaɾ mˈʏçtən dˈiːɾ ɪn hˈlˈpst vˈeːln ˌɪln vˌʊɐdʊn ʊd vːaɛs fˈyːəl tsuː ˈæsˌən gˈipː,
71253,71253.wav,audios\71253.wav,rɪnçʃ frˈaɪkt fˈɑːzɪç fˌɪndə vˈas dˈiː gɪzˈæltʃˌaft ˌʏbɛɾ dˌiˈʊbɾt ɪŋ klˈimɑvandəl dˑɪnt vˌøːsˈtɪɾ gˈœnçvˌasɪː ˈantwɔːɾdən ːʊɪtˈdɪlˌ dːlˈauːbəlː eːstvɑnˈnɪʃt d˃as dʊːtɛs d˒iˌgɪsˌæltˈsɪəltsʃɑftˈ als hɔmɔgɛːnə mˈˈassə gːˈgɑpt ɔvɪm ˩ɔlnt d˦ɪvˈəɾ kˈeːdɛnə gɾˈanˈkəl ˑəln d˪ə gədˈankəl alːvːas ˦əlgədɑŋɪən d˔,
71254,71254.wav,audios\71254.wav,maɪn lˈiːvɪçtɪŋs gɪtɾˈɪngɪs ɔn kˈoːnən kˌoˌʊnən tɾɪgˈmɪlt ɪlˈʃpɾoˈdɛlˌkɪːɾ dˈeɪz ɑn ɛɪst hɛrˈœs ˈaɪrˌɪʃtɛn ˌaɾʊsən gvˈuːlnɛtˌs ʋɑːrːbɛːʃɛmɾ vˈasɪɾ ːaɔːxɪmɛs əɪvˌvɛʃnɪəɾ kːoˑnən zˈrɪən mɪdʒt ɾiˌːˈkɔʊlnətɕ ɐbˈsɛltɾə ˑvɔɾnɔtːsɔrˑ ˃ɪpɛiˈlːmɑsɪ ɦɔln ʊɾl˃kʃmɔmɐtˈ,
71255,71255.wav,audios\71255.wav,øvɪmɪç frɑːktˈɛç ˈʊɐç ɪst tˈiːɾ ɛɪn mˈaɪsʏtən hˈakɔn fɛrʊm dˈas ˌɪt kˈantɪɾ nɪx bɑnt vɔɾt nˈaxɪlɪltɪrɑ ːlˈaiːçɑɾ tˌʊnt vˈalzəl ˑɪdɛnɪːˈvɑn dʊx zˈeɪndən lˈˈbɛlbɪnsɛ ɐfɑrːʊːgnɛŋgˈəlʃmɑ mˌaɾ mːeːrˈ mɪtt kˌatsɪən hʊndən gˈimɑlm tɪraːriːuːmˌ tːiˌrən vˌalzˌiˈnˈ kːanˈmɛːnˌ k˃anː k˲anˌˈoːvˌeˌmˈsɪəːtən vɪeˈ,
71256,71256.wav,audios\71256.wav,hˌɛɾˈɪs ɪn nˈatɔɾgɛmˌeːs ˈeˌʊɐmɪtɛn ˌaɪlɛtɾɔs gˈiːˈˈtɪˌs ʊfɪdɛs xtɪvˈaɾtɕiˌtˈ zˈʌlkˈ vˈoːɾoˌnˈnˌmɔnːtə bəfˈfɔːtsʊkt ɛntn mˈanˈkɑn rˈraʊsgˈəs əvˌoˈstɪənt ːvɪɾiˈtsaɛlˈpɔmːanˌ ˑɪfɾʃɛŋɛːn˧ɪç ˀɪøftəs mɪnt fɾontən ˔aʊsaɪpːlˌəs tɪstɾfˌuːfːoˑn tsʊntsʊvːstɛls ɔvɛstɐs dˈuˌvɑː ɑlɪzɛ,
71257,71257.wav,audios\71257.wav,hˌaːmˈaɪs ɪç ˈɪm ˌalˈtˌɑːktˈuːɾ ʊmˌʊɛltsuˌ ʃˈʏtsnɪˌs zˈənt gˈant zˌimtlɛːs zɑxənˈiːlˌiˌvˈyːrˈdɪnˌmɪlˈˈmːas ɛgɛɾˈgɪntvɪɾtən mˈœlːtɑʃtˈ tˈøːçɪəlˑɾɑ ɑɑpfˈalːfɔn fɔntən fɑn ɾkɔʊntɾiˈrˌkɑoːnɛmˑˌrɪtən zːaxnɔl˃zɑrː z˦ɾa z˲ɾoˌzɪŋˌˌeːˌnˈnːiˑnˑatˈoˈvˌævːəlfən ɔɪgɾl˦ʃɪrˑi˦l˧�,
71258,71258.wav,audios\71258.wav,oːˈaʊ ɑːm vˈiːɪltsɑiˌt hˈɑst tuːrˈ dˈeɪn ɪtɪs gɪpt dˌɪst gɛɪpˈt zˈʊɐfɪːŋmɪm mˈaiːnlɪgən gɑpt ɛs nɪçtɛːs dˑˈdɛnlˈlɛlnɪŋsfɛltɪvɪltˈən fˈoˌlən ɐɾɪnsɛmˌaɪən vɑnˈsɪntsɛnts tˈolɪls mɛdˈjˈdiːʊmˈm ɔn vˌoˈanˈsiːlnˌiˈnː tˌolˈas mɪdɪi˦lˌʊŋ vɪrˌeːfˈfɑlːvˈvɛliːgˈˈ,
71259,71259.wav,audios\71259.wav,jˈaˌɪç kɔçə gɛɾnˈɛ ʊnts vˈʊɐ ˈalɪs ˌaɪlzəlɪθ vɪɾtɪkˈəln fˈiːk tsuːbɾˈœɪtən vˌʊl dˈeɪzənt ɪn ːɪdɪpɪrˈˈsɪˈnɑːpɑr ɛn pɪʃtˈoːlɛln pˈuːrˌoˈbɪəlˈ ˑɪst gɪvɛs gɾanˈmɑ ˀaɔs vɛntn ɔn tɔːʊlsrɪtsɛtːhˈtɑhːs zˈauːdɛr �œvˈæç ɐɾɪŋvɪlt tsuɪtaːt nˈapɔɾʃɪ tˈənkɑɾ ˒nˌæn ʌnlˌeːn əs mˈlːeˈkːətɛts �æn�,
71260,71260.wav,audios\71260.wav,ɪm ʊnt zvˈɪʃənvˌɑːç ˈaʊnˌnɔx ʃpɔɾt vˌaɪnˈiːgɛɾhˌoːpˈʊɾˌat fɔn ˌʊlɑŋgətsaɾ lˈatɪtətəlk ʏn gɪrˈætɪətˌuːrən gɛrˌeːtˈuˌrən dˈeˈmɑɾ kˈoˌkˈtɛːəs ʋɔːɾdɛtːˈgɪˈrːeˌtˑuˈən gərˈetɪɾɾnː gɔr˃n˃ɛmɾ ɪs ɛvɪlˈnɑ̃kˌbɪdɪiˌːsəlˌ pʃpoˈortɑ kːərɪltˌun rˈauːnˑɪntn ɐnatɪçˌælːlˑaɔl ːoˈlɪz vˈasɪən ,
